,1: Cal. Nei. Cen.,2: Col. Nei. Cen.,3: Lan. Nei. Cen.,4: Col. Par. Nei. Cen.,5: Gra. Ave. Nei. Cen.,6: Joh. H.. Jac. Nei. Cen.,7: Hol. Hei. Com. Cen.,8: Dr.. Jam. R.. Smi. Nei. Cen.,9: Roc. Lak. Nei. Cen.,10: Wad. Com. Cen.,11: Eng. Nei. Cen.,12: Nor. Nei. Cen. Mar. Com. Cen.,13: Pin. Hil. Nei. Cen. Fam. (sa. Off.,14: Ros. Com. Cen.,15: Oak. Rid. Nei. Cen. Fam. (in. Mid. Sch.,16: Thr. Sho. Com. Cen.,17: Com. Emp. Cen. Inc.,18: Ara. Ame. Com. Cen.,19: Ive. Lan. Rec. Cen.,20: Ive. Lan. Nei. Cen.,21: Dov. Sho. Com. Cen.,22: Uni. Par. Nei. Cen.,23: Cla. Com. Cen.,24: Pin. Hil. Com. Cen.,25: Ora. Tre. Rec. Cen.,26: Dr.. P.. Phi. Ymc. Fam. Cen.,27: Ang. Adu. Com. Cen.,28: Ora. Cou. Orl. Mag. Rec. Cen.,29: Lak. Non. Ymc. Fam. Cen.,30: Sou. Eco. Rec. Cen.,31: Fdc. Cen. Flo. Rec. Cen.,32: Ran. Par. Com. Cen.,33: Orl. Vis. Par.,34: Big. Haw. Rec. Cen.,35: Lee. Rec. &. Par.,36: Oco. Lak. Cen.,37: Nar. Com. Cen. Par.,38: Eas. Par.,39: Hun. Clu. Ped.,40: Apo. Com. Cen.,41: Com. Hea. Cen.,42: Com. Hea. Cen. Apo.,43: Com. Hea. Cen.,44: Joh. Bri. Com. Cen.,45: Fra. Car. Rec. Cen.,46: Hop. Com. Cen.,47: Win. Spr. Civ. Cen.,48: Wes. Par.,49: Lak. Mar. Com. Cen.,50: Lak. Mar. Par. &. Rec.,51: J.. Dou. Wil. Ymc. Fam. Cen.,52: Hil. Rec. Cen.,53: Den. Joh. Com. Cen.,54: Mai. Com. Par.,55: Min. Par.,56: Sha. Orl. Rot. Jcc.,57: Mai. Sen. Cen.,58: Ovi. Rec. &. Par.,59: Wes. Com. Cen. Boy. Gir. Cen.,60: Jef. Tri. Com. Cen.,61: Mid. Com. Cen.,62: San. Civ. Cen.,63: Win. Par. Com. Cen.,64: Aza. Lan. Rec. Cen.,65: Cen. Hea. Wel.
1: Cal. Nei. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2: Col. Nei. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3: Lan. Nei. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4: Col. Par. Nei. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5: Gra. Ave. Nei. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6: Joh. H.. Jac. Nei. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7: Hol. Hei. Com. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8: Dr.. Jam. R.. Smi. Nei. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9: Roc. Lak. Nei. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10: Wad. Com. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11: Eng. Nei. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12: Nor. Nei. Cen. Mar. Com. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
